Title,Artist,Tempo,Loudness,Energy,Danceability,Duration,Key,Mode,Year,Hotttnesss,AvgTimbre,AvgPitches,FilteredTerms
High Tide,Richard Souther,127.756,-16.11,0.0,0.0,228.5971,8,1,0,0.3347065490692206,4.549280937417358,0.35347095937226175,chill-out:1.000;smooth jazz:0.994;orchestra:0.955;jazz:0.945;celtic:0.927;new age:0.921;adult alternative:0.883;easy listening:0.869;ambient:0.864;electronica:0.855;ethnic fusion:0.836;electronic:0.827;spiritual:0.818;soundtrack:0.812;contemporary instrumental:0.802;piano:0.771;classical:0.726;beautiful:0.726;ethereal:0.726;acoustic:0.700;rock:0.690;holiday:0.667;pop:0.655;country:0.655;instrumental:0.655;melodic:0.655;composer:0.655;smooth:0.654;romantic:0.654;world fusion:0.654;contemporary:0.634;united states:0.619;solo:0.601;cinematic:0.590;soundscape:0.581;celtic new age:0.555
Sohna Nee Sohna Data,Faiz Ali Faiz,99.273,-8.032,0.0,0.0,599.24853,6,1,0,nan,17.976052739629612,0.39569036243940775,qawwali:1.000;meditation:0.841;world music:0.809;world fusion:0.591;ethnic:0.591;spiritual:0.565;vocal:0.554;traditional:0.554;intense:0.547;tff rudolstadt:0.546;india:0.539;sufi:0.533;pakistan:0.490;pakistani:0.487;mystical:0.485;sacred:0.482;devotional:0.467;male vocalist:0.447;bhakti:0.440;orient:0.403
Caught In A Dream,Tesla,150.062,-5.271,0.0,0.0,290.29832,7,1,2004,0.6841361912294903,5.391544651072342,0.2610616078494191,hard rock:1.000;heavy metal:0.976;blues-rock:0.962;classic rock:0.935;garage rock:0.896;rock:0.896;soft rock:0.871;tech house:0.863;progressive house:0.855;hair metal:0.853;gabba:0.849;soul jazz:0.849;glam metal:0.849;latin jazz:0.849;pop rock:0.843;southern rock:0.842;ballad:0.839;glam rock:0.838;disco:0.820;grunge:0.801;hip hop:0.798;power metal:0.791;acoustic:0.786;pop metal:0.774;techno:0.765;album rock:0.750;blues:0.745;funk:0.738;electro:0.734;electronic:0.731;alternative rock:0.723;singer-songwriter:0.719;united states:0.712;jazz:0.707;male vocalist:0.695;80s:0.685;germany:0.685;metal:0.666;pop:0.666;house:0.666;hardcore:0.634;alternative:0.634;american:0.634;industrial:0.634;country:0.634;90s:0.634;guitar:0.634;minimal:0.634
Synthetic Dream,lextrical,138.331,-6.787,0.0,0.0,165.69424,7,1,0,0.0,1.166385541792577,0.243921160274901,indietronica:1.000;lo-fi:0.683;experimental:0.680;instrumental:0.680
Broken-Down Merry-Go-Round,Jimmy Wakely,86.186,-15.221,0.0,0.0,151.84934,1,1,0,nan,2.5098089959574215,0.2971108602692838,classic country:1.000;western swing:0.975;blues-rock:0.933;country music:0.933;blues:0.838;jazz:0.788;country:0.785;rock:0.684;cowboy:0.677;christmas music:0.664;folk:0.650;world:0.650;swing:0.650;gospel:0.650;big band:0.644;traditional country:0.590;holiday:0.560;post core:0.475;funk soul:0.444
Kassie Jones,Alice Stuart,110.382,-8.514,0.0,0.0,220.78649,11,1,0,0.0,3.1385435877002092,0.3089849809748196,electric blues:1.000;blues:0.952;country blues:0.891;blues-rock:0.891;folk rock:0.819;singer-songwriter:0.735;acoustic blues:0.697;folk:0.671;country:0.671;acoustic:0.655;female vocalist:0.655;rock:0.624;seattle:0.610;roots:0.594;singer:0.594;old timey:0.555;vocalist:0.542;northwest:0.539;washington:0.516;electric guitar:0.443;guitar blues:0.443;folk revival:0.441;alternative rock:0.296
Setanta matins,Elena,111.874,-8.05,0.0,0.0,269.58322,2,1,0,0.3135621142479342,-0.7839779987273275,0.2699660362084987,uk garage:1.000;pop folk:0.963;jazz fusion:0.925;chalga:0.905;jazz:0.890;progressive house:0.874;pop punk:0.840;trance:0.812;techno:0.808;electronic:0.787;female vocalist:0.787;dance:0.754;pop:0.745;rock:0.726;contemporary classical music:0.707;jazz vocal:0.703;house:0.696;romani:0.680;bulgarian:0.663;folk:0.660;indie:0.660;alternative:0.660;world:0.660;ambient:0.660;soul:0.660;swedish:0.660;political:0.660;female:0.660;eurovision:0.660;czech republic:0.650;eurovision song contest:0.638;oriental:0.629;power pop:0.612;serbia:0.591;romania:0.562;italian dance:0.535;world beat:0.535;bulgaria:0.533;jazz pop:0.506;euro-house:0.502
Setting Fire to Sleeping Giants,The Dillinger Escape Plan,166.862,-4.264,0.0,0.0,207.77751,7,1,2004,0.6665278462297023,6.017030900821727,0.4825007175502669,math-core:1.000;grindcore:0.958;hardcore punk:0.954;tech metal:0.646;punk metal:0.641;extreme metal:0.604;metalcore:0.601;heavy metal:0.534;death metal:0.512;hard rock:0.502;hardcore:0.502;rock:0.479;instrumental:0.474;jazz:0.474;emo:0.473;progressive:0.443;electronic:0.442;heavy:0.430;punk:0.414;experimental:0.390;noise:0.379;beautiful:0.376;industrial:0.364;guitar:0.347;ambient:0.347;metal:0.322;acoustic:0.320
James (Hold The Ladder Steady),SUE THOMPSON,137.522,-12.332,0.0,0.0,124.86485,10,1,1985,0.4952936212921635,7.170587715968759,0.34487805532572174,pop rock:1.000;soft rock:0.955;blues-rock:0.911;doo-wop:0.911;chanson:0.896;oldies:0.876;disco:0.875;rock:0.869;classic rock:0.829;ska:0.807;pop:0.782;female vocalist:0.781;funk:0.772;country:0.770;alternative rock:0.754;rock 'n roll:0.737;jazz:0.733;vocal:0.723;soul:0.706;60s:0.706;traditional country:0.678;united states:0.674;electronic:0.642;punk:0.642;swing:0.642;american:0.642;nederland:0.617;moje standards:0.608;all-female:0.605;synthpop:0.604;denmark:0.589;golden oldies:0.572;funk soul:0.530;vocal pop:0.461
Made Like This (Live),Five Bolt Main,164.672,-5.908,0.0,0.0,225.09669,7,1,0,0.37598430150044215,10.791456073801061,0.47460026587676224,post-grunge:1.000;alternative metal:0.992;nu metal:0.908;hard rock:0.782;alternative rock:0.761;emo:0.738;rock:0.697;metal:0.654;alternative:0.611;indie:0.585;american:0.585;hardcore:0.542;fast:0.522;north america:0.496;new metal:0.485;punk:0.393
Superconfidential,Clp,125.006,-6.486,0.0,0.0,338.31138,6,0,0,nan,9.991462738814919,0.38322713451709034,breakcore:1.000;miami bass:0.987;new rave:0.987;grime:0.987;breakbeat:0.969;hip hop:0.944;electro:0.902;techno:0.874;intelligent dance music:0.862;electronic:0.800;experimental:0.743;germany:0.743;abstract:0.743;rock:0.734;house:0.700;electro house:0.697;fm4:0.624;electro-funk:0.583;sxsw 2009:0.542;ghetto tech:0.485
I Think My Wife Is Running Around On Me (Taco Hell),Tim Wilson,90.022,-4.516,0.0,0.0,186.48771,5,1,2005,nan,6.326620286667592,0.35307475413286543,filk:1.000;comedy:0.869;spoken word:0.863;country:0.863;funny:0.761;stand-up comedy:0.755;humorous:0.751;country pop:0.750;american:0.698;georgia:0.632;comedian:0.627;comedy central:0.589;musical comedy:0.491
Spanish Grease,Willie Bobo,127.025,-9.616,0.0,0.0,168.25424,8,1,1997,nan,7.149042476549789,0.3295678202410943,latin jazz:1.000;jazz funk:0.958;boogaloo:0.948;soul jazz:0.944;salsa:0.936;acid jazz:0.891;jazz:0.885;mambo:0.871;deep house:0.867;samba:0.864;downtempo:0.850;smooth jazz:0.847;batucada:0.845;future jazz:0.845;disco:0.835;hard bop:0.831;bossa nova:0.830;brazilian pop music:0.812;afrobeat:0.812;broken beat:0.812;easy listening:0.802;funk:0.795;tech house:0.793;latin:0.791;breakbeat:0.786;cool jazz:0.780;tribal house:0.780;uk garage:0.780;merengue:0.780;rumba:0.780;cumbia:0.780;bolero:0.780;electronic:0.767;soundtrack:0.728;soul:0.726;hip hop:0.715;house:0.710;blues:0.707;fusion:0.701;united states:0.676;rock:0.640;lounge:0.628;pop:0.614;swing:0.614;funk soul:0.613;instrumental:0.595;psychedelic:0.595;new york:0.595
Crazy Mixed Up World,Faye Adams,95.957,-18.051,0.0,0.0,156.39465,8,1,1961,0.0,0.9425345087083039,0.3495997759047312,jump blues:1.000;east coast blues:0.997;piano blues:0.947;blues:0.870;r&b:0.840;blues-rock:0.792;delta blues:0.792;german pop:0.792;ballad:0.780;jazz:0.726;gospel:0.710;classic rock:0.681;female vocalist:0.649;rock:0.636;soul:0.607;american:0.586;funk soul:0.567;sweden:0.549;pop:0.549;60s:0.549;50s:0.549;new jersey:0.533;bebop:0.521;french:0.483
Do You Finally Need A Friend,Terry Callier,110.189,-11.939,0.0,0.0,342.56934,6,1,1972,0.4137398358601097,-1.8054225594911737,0.24602710803817052,soul jazz:1.000;future jazz:0.952;smooth jazz:0.923;acid jazz:0.908;jazz funk:0.899;downtempo:0.889;chicago blues:0.888;jazz:0.879;easy listening:0.875;deep house:0.874;folk rock:0.872;chicago soul:0.851;broken beat:0.843;disco:0.842;trip hop:0.825;gabba:0.821;neo soul:0.821;chill-out:0.821;blues:0.806;new beat:0.803;vocal jazz:0.803;northern soul:0.803;neofolk:0.803;funk:0.797;soul:0.794;r&b:0.794;electronic:0.786;psychedelic rock:0.780;samba:0.773;singer-songwriter:0.769;grunge:0.758;rock:0.757;hip hop:0.755;tech house:0.755;folk:0.742;pop rock:0.736;electro:0.736;dub:0.733;breakbeat:0.730;world:0.719;country:0.719;acoustic:0.714;classic rock:0.711;latin:0.708;rap:0.692;house:0.672;ambient:0.656;alternative rock:0.655;pop:0.632
The Emperor Falls,John Wesley,138.007,-15.335,0.0,0.0,484.62322,4,0,0,0.3775316449767025,1.6651225944394847,0.38784911652590215,disco:1.000;calypso:0.964;reggae:0.950;hard trance:0.933;dub:0.897;progressive house:0.883;progressive trance:0.877;art rock:0.864;happy hardcore:0.856;italian disco:0.856;hard house:0.856;samba:0.856;kraut rock:0.856;batucada:0.856;trip rock:0.856;dance pop:0.856;electronic:0.846;trance:0.831;latin:0.828;progressive rock:0.813;pop rock:0.812;singer-songwriter:0.768;downtempo:0.757;male vocalist:0.742;hard rock:0.734;funk:0.732;rock:0.729;electro:0.728;folk:0.725;country:0.725;world:0.725;house:0.718;alternative rock:0.716;dance:0.709;united states:0.704;spain:0.701;jazz:0.698;electronica:0.693;germany:0.674;french:0.672;indie:0.653;alternative:0.653;progressive:0.653;pop:0.617;ambient:0.617;american:0.617;acoustic:0.617;minimal:0.617;guitar:0.617
Twist and Shout,The Shangri-Las,130.1,-10.922,0.0,0.0,164.80608,10,1,1964,0.4432913119053975,2.3360346255658366,0.5060745846780144,doo-wop:1.000;ballad:0.980;pop rock:0.966;rock steady:0.953;soft rock:0.941;blues-rock:0.915;all-female:0.915;disco:0.880;brill building pop:0.877;rock:0.875;classic rock:0.870;europop:0.864;rock 'n roll:0.864;surf music:0.864;country rock:0.864;rockabilly:0.850;soul jazz:0.845;easy listening:0.842;chanson:0.832;garage rock:0.832;pop:0.819;blues:0.815;jazz funk:0.812;cool jazz:0.812;neo soul:0.812;ragtime:0.812;motown:0.812;broken beat:0.812;crunk:0.812;reggae:0.807;folk rock:0.804;soundtrack:0.801;oldies:0.797;psychedelic rock:0.788;art rock:0.787;jazz:0.777;hip hop:0.771;soul:0.770;funk:0.752;female vocalist:0.748;electronic:0.737;electro:0.729;ska:0.728;techno:0.727;downtempo:0.722;alternative rock:0.686;metal:0.648;alternative:0.648;punk:0.648;indie:0.629
It Makes No Difference Now,Billie Jo Spears,160.839,-9.983,0.0,0.0,133.32853,4,1,1992,0.0,16.153386616601928,0.33689475224494236,classic country:1.000;motown:0.945;oldies:0.908;rockabilly:0.886;traditional country:0.874;country pop:0.818;country:0.812;united states:0.809;female vocalist:0.806;singer-songwriter:0.801;alternative country:0.737;rock:0.724;progressive country:0.711;female:0.709;american:0.709;pop:0.691;folk:0.691;70s:0.691;soul:0.667;60s:0.667;classic:0.625;irish:0.625;singer:0.625;ireland:0.595;60s pop:0.592;nashville:0.562;country folk:0.535;deutsche schlager:0.527;female country:0.522;country divas:0.517;uk pop:0.514;btvs:0.511
Laws Patrolling (Album Version),Mike Jones (Featuring CJ_ Mello & Lil' Bran),41.993,-7.762,0.0,0.0,173.66159,7,1,0,nan,9.382264122320588,0.3479237125484752,rap:1.000;hip hop:0.958;classic:0.820;hardcore rap:0.800;southern rap:0.785;club:0.656;reggaeton:0.651;dub:0.607;instrumental:0.540;soundtrack:0.534;reggae:0.516;emo:0.510;r&b:0.472;hardcore:0.348
¿Dónde va Chichi?,Sierra Maestra,189.646,-9.512,0.0,0.0,313.12934,9,1,1997,nan,10.727155237731242,0.3535819289959297,charanga:1.000;salsa:0.906;latin jazz:0.818;rumba:0.784;bolero:0.784;world music:0.744;latin:0.728;easy listening:0.720;jazz:0.714;tropical:0.706;male vocalist:0.623;world:0.593;cuban:0.581;cuba:0.576;ambient:0.559;germany:0.559;mexico:0.553;latino:0.552;trumpet:0.548;nepal:0.531;energy:0.493;afro-cuban:0.486;afro-cuban jazz:0.464;nonesuch:0.448;flow:0.445;salsa cubana:0.433;son cubano:0.423;buena vista social club:0.405;cuban jazz:0.395
"Barking Dogs (From ""Piouhgd"")",Butthole Surfers,130.586,-9.063,0.0,0.0,450.84689,4,0,0,0.593943075901947,11.617666469814035,0.44530542260150285,noise rock:1.000;experimental:0.844;punk:0.760;psychedelic:0.760;college rock:0.710;american underground:0.656;art rock:0.650;california:0.589;heavy metal:0.540;heavy:0.438;electronica:0.433;noise:0.428;funny:0.416;pop:0.411;metal:0.411;hardcore:0.411;indie:0.362;electronic:0.362;classic:0.360;rock:0.353;guitar:0.344;alternative:0.320;folk:0.319
OUTE ENA EFHARISTO,Despina Vandi,128.292,-8.879,0.0,0.0,303.09832,8,0,0,nan,5.775343700207726,0.32630836473614366,dance pop:1.000;british pop:0.956;modern laika:0.956;eurodance:0.907;club:0.892;techno:0.843;dance:0.822;trance:0.804;electro:0.802;hip hop:0.801;female vocalist:0.800;electronica:0.759;pop:0.710;greek:0.710;rock:0.701;female:0.667;indie:0.667;house:0.667;eurovision:0.667;european:0.667;italian:0.667;sexy:0.667;latin:0.667;ethnic:0.667;female vocals:0.667;turkish:0.667;electric:0.595;vocalist:0.585;greece:0.582;russian pop:0.575;singer:0.560;queen:0.542;greek pop:0.503;mtv:0.501;orient:0.489;greek music:0.478;greek female vocalist:0.468;europop:0.451;macedonia:0.440
Midnight Swim,Javier Navarrete,90.932,-17.699,0.0,0.0,128.83546,3,1,0,0.3943948561005826,-3.986065442492915,0.24578488930412598,orchestra:1.000;chill-out:0.998;soundtrack:0.931;modern classical:0.915;classical:0.909;electronic:0.898;composer:0.804;instrumental:0.780;contemporary classical music:0.767;ost:0.755;film music:0.726;relax:0.714;spanish:0.712;beautiful:0.712;spain:0.712;ethereal:0.712;violin:0.712;calming:0.711;united states:0.678;moody:0.672;european:0.655;film score composer:0.652;sensual:0.649;movie score composer:0.649;fantasy:0.639;sophisticated:0.636;classic:0.635;film score:0.620;original score:0.616;movie soundtrack:0.615;movie score:0.602;soundtrack composer:0.548
In A Subtle Way,Jacob Young,89.667,-19.478,0.0,0.0,456.30649,1,1,0,0.0,-8.329634998415594,0.30104156373561786,cool jazz:1.000;free jazz:0.950;soul jazz:0.932;country rock:0.932;jazz:0.911;contemporary jazz:0.802;rock:0.781;electro:0.781;hip hop:0.780;alternative rock:0.766;indie rock:0.757;norwegian:0.691;germany:0.691;minimal:0.648;house:0.648;electronic:0.648;indie:0.648;pop:0.648;acoustic:0.648;guitar:0.648;soul:0.648;sexy:0.648;bass:0.648;post-bop:0.636;ecm records:0.613;modern jazz:0.593;soundscape:0.579;genious:0.568;haunting:0.567;late night:0.561;norwegian jazz:0.541;new jazz:0.540;quartet:0.505;scandinavian jazz:0.480;ambient jazz:0.462;avant-garde:0.406
Spin,Scarlet's Remains,115.061,-7.469,0.0,0.0,198.73914,7,1,2007,0.450992311636255,-1.3062691278701306,0.42769607315987856,gothic metal:1.000;deathrock:0.961;horror punk:0.893;neofolk:0.868;gothic rock:0.844;rock:0.830;doom metal:0.811;new wave:0.775;gothic:0.762;punk:0.745;electro:0.742;indie rock:0.717;electronic:0.695;female vocalist:0.689;industrial:0.652;ebm:0.652;female vocals:0.652;metal:0.609;american:0.609;political:0.609;los angeles:0.604;metal punk:0.603;anarcho-punk:0.597;female fronted:0.587;synthpop:0.570;batcave deathrock:0.543;wgt 2006:0.481;gothic punk:0.473;alternative rock:0.284
Burning In The Aftermath,The Suicide Machines,115.887,-2.022,0.0,0.0,95.68608,2,1,2003,0.5287824809425877,5.822650420696393,0.45716714684799836,ska punk:1.000;post-grunge:0.956;skacore:0.843;ska:0.806;skate punk:0.789;oi:0.764;pop punk:0.764;punk pop:0.747;alternative pop rock:0.732;punk revival:0.725;hardcore punk:0.719;punk:0.714;hip hop:0.702;emo:0.685;metalcore:0.676;new wave:0.662;alternative rock:0.658;indie rock:0.651;rock:0.636;detroit:0.619;third wave ska revival:0.618;united states:0.613;electronica:0.603;hardcore:0.599;indie:0.585;alternative:0.585;cover:0.582;metal:0.565;american:0.565;90s:0.565;80s:0.565;political:0.565;industrial:0.532;guitar:0.532;comedy:0.532
Angie (1993 Digital Remaster),The Rolling Stones,139.333,-10.358,0.0,0.0,271.49016,9,0,0,0.8344926198909054,5.021690932786574,0.27079653451076363,blues:1.000;hard rock:0.929;rock:0.894;england:0.799;london:0.799;beat:0.576;new wave:0.528;psychedelic:0.452;soundtrack:0.448;classic:0.442;funk:0.437;pop:0.429;punk:0.388;piano:0.380;vocal:0.371;acoustic:0.371;country:0.360;alternative:0.348;soul:0.307
Sabor Guajiro,Roberto Torres,117.271,-12.716,0.0,0.0,226.66404,0,1,0,0.0,7.315161621467723,0.2938636459715355,salsa:1.000;charanga:0.963;vallenato:0.926;latin jazz:0.867;samba:0.867;world music:0.823;latin:0.732;united states:0.710;jazz:0.704;world:0.694;male vocalist:0.690;tropical:0.670;cuban:0.646;folk:0.620;country:0.620;cuba:0.618;moje standards:0.590;vocalist:0.550;bossa nova:0.501;timba:0.493;larrau:0.449;rumba cubana:0.423
Human Cannonball,Loudon Wainwright III,102.428,-15.663,0.0,0.0,190.48444,3,1,1995,0.5101193140330347,-6.714301575018476,0.24206482318635167,modern rock:1.000;singer-songwriter:0.831;folk:0.805;rock:0.754;vocal:0.721;contemporary folk:0.609;acoustic:0.447;guitar:0.434;funny:0.404;classic:0.387;indie:0.363;country:0.319
